Zip Code,Population,Poulation Below Poverty Line,Population Below Poverty Line past 12 months,Poverty Percentage
01566,6006.0,1760.0,74.0,0.29304029304029305
01022,2604.0,402.0,0.0,0.1543778801843318
01748,16720.0,4669.0,46.0,0.2792464114832536
01850,16890.0,4044.0,857.0,0.2394316163410302
01915,41431.0,9609.0,420.0,0.2319277835437233
01944,5327.0,1670.0,20.0,0.31349727801764593
02131,32819.0,7550.0,781.0,0.2300496663518084
02134,18057.0,2041.0,166.0,0.11303095752339813
02136,33084.0,8497.0,1131.0,0.25683109660258735
02138,37668.0,6089.0,348.0,0.16164914516300308
02142,2929.0,516.0,43.0,0.17616934107203824
02145,26430.0,5537.0,563.0,0.20949678395762392
02171,17849.0,3914.0,187.0,0.21928399350103647
02341,10560.0,2966.0,70.0,0.28087121212121213
02343,10753.0,2789.0,146.0,0.25936947828512974
02451,18646.0,4401.0,204.0,0.23602917515821087
02458,12465.0,3243.0,40.0,0.2601684717208183
02481,16309.0,3818.0,171.0,0.23410386902937028
02494,10301.0,2658.0,76.0,0.2580332006601301
02532,13337.0,3534.0,164.0,0.26497713128889555
02536,19191.0,5029.0,304.0,0.26204991923297377
02537,6572.0,1864.0,95.0,0.2836275106512477
02554,10590.0,2225.0,112.0,0.2101038715769594
02556,2869.0,965.0,0.0,0.33635413035901013
02650,906.0,226.0,0.0,0.24944812362030905
02659,1030.0,260.0,0.0,0.2524271844660194
02660,6657.0,1918.0,103.0,0.288117770767613
02720,31126.0,7689.0,1187.0,0.24702820792906252
02738,5065.0,1331.0,27.0,0.2627838104639684
02743,10443.0,2889.0,75.0,0.276644642344154
02790,15832.0,4446.0,118.0,0.2808236483072259
02351,16275.0,4463.0,95.0,0.2742242703533026
02210,2609.0,460.0,0.0,0.17631276351092373
02215,25023.0,1398.0,299.0,0.05586860088718379
02347,11292.0,2984.0,76.0,0.2642578816861495
02364,13210.0,3549.0,165.0,0.2686601059803179
02459,19473.0,5106.0,208.0,0.26220921275612386
02478,25940.0,6927.0,292.0,0.26703932151117965
02492,20128.0,5581.0,128.0,0.2772754372019078
02540,8294.0,2136.0,59.0,0.25753556788039544
